Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Rachelle Bruno,4.3,3,Education,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1131165,0.645
Greg De Blasio,3.3,33,Communication,0.7,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/673315,0.6431764705882352
Jean Becker,5.0,3,Biology,1.0,4.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2154917,0.6429999999999999
Gary Eippert,3.4,12,Health,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/760248,0.6429230769230769
Callie Elizabeth Clare,3.1,16,Communication,0.4,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1653223,0.6403529411764706
Irene Encarnacion,3.5,60,Spanish,0.74,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/148382,0.6390819672131147
Teresa Phinney,3.3,3,Biology,0.34,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2300745,0.637
Jeanne Holmes,3.4,4,Management,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1546851,0.636
Parmita Kapadia,3.4,62,English,0.69,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/161478,0.6342380952380952
Jay Human,3.1,20,Communication,0.78,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1673546,0.6337142857142857
Brian Collier,3.8,3,Education,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1940203,0.633
Rees Storm,4.6,10,Honors,0.0,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/937410,0.6327272727272727
Robert Kenney,2.5,52,Philosophy,0.25,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/231343,0.6313396226415094
Jae-Seung Lee,3.0,17,Law,0.36,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2238975,0.6313333333333333
Michael Hinckley,3.6,27,History,0.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1431485,0.6312857142857142
Sarah Mann,2.5,15,Mathematics,0.55,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1480440,0.63025
Sara Sidebottom,5.0,1,Law,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1714677,0.63
Linda Wermeling,4.1,20,Social Work,0.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/959587,0.6277142857142857
Mark Hardy,5.0,3,Theater,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1022394,0.627
